codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica,GEOCODE
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1968-05-01,2018-03-09,17536,2016-08-01,cl143c6kyefugvwqm2w6i
1200002,DGA,dga_web,Villa Industrial (Tacora),4080,-17.7719,-69.7244,12,Rio Lluta,120,Rio Lluta Alto,1975-01-01,2017-03-31,14820,-,cl143c6ky6vkspptxphs)
1200003,DGA,dga_web,Humapalca,3980,-17.835,-69.7039,12,Rio Lluta,120,Rio Lluta Alto,1971-12-01,2017-03-31,16419,-,cl143c6ky6tc5pt7j0c8a
1201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,2013-06-01,2018-01-30,1489,2016-08-31,cl143c6ky6mzy6nm02pua
1201010,DGA,dga_web,Alcerreca,3990,-17.9931,-69.6594,12,Rio Lluta,120,Rio Lluta Alto,1971-01-01,2017-03-31,16589,-,cl143c6ky3wu7wd749t8a
1201003,DGA,dga_web,Rio Lluta En Alcerreca,3550,-18.0036,-69.6331,12,Rio Lluta,120,Rio Lluta Alto,2001-12-01,2018-03-09,5615,2017-04-01,cl143c6ky3x6w9rjtqgpa
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1970-01-01,2017-03-31,15368,-,cl143c6kyc332fet0w06a
1110001,DGA,dga_web,Puquios,3750,-18.1747,-69.7439,11,Quebrada De La Concordia,111,Quebrada De La Concordia,1975-05-01,1981-05-31,2105,-,cl143c6ky2sgqh9q6gs6s
1202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12,Rio Lluta,120,Rio Lluta Alto,1978-11-01,1999-05-31,7395,-,cl143c6ky8d6bzyhpzu6o
1020014,DGA,dga_web,Cotacotani,4550,-18.1836,-69.2328,10,Altiplanicas,102,Rio Lauca,1961-04-01,2017-03-31,19522,-,cl143c6kyb89f0yg68v9i
1020013,DGA,dga_web,Isla Blanca,4540,-18.1858,-69.2142,10,Altiplanicas,102,Rio Lauca,1970-01-01,1989-06-30,7026,-,cl143c6kyb8cru01pv6ba
