GEOCODE,LAT,LON,SOURCE,TYPE_STATION,STATE,CATEGORY,FIRST_YEAR,LAST_YEAR
cl143c6kyefugvwqm2w6i,-17.595000013243407,-69.4831000152044,CR2,METEOROLOGICA,nodata,nodata,1968-01-01,2018-12-31
cl143c6ky6vkspptxphs),-17.771899995859712,-69.72440000390634,CR2,METEOROLOGICA,nodata,nodata,1975-01-01,2017-12-31
cl143c6ky6tc5pt7j0c8a,-17.835000010672957,-69.70390000613406,CR2,METEOROLOGICA,nodata,nodata,1971-01-01,2017-12-31
cl143c6ky6mzy6nm02pua,-17.842800000216812,-69.69940001377836,CR2,METEOROLOGICA,nodata,nodata,2013-01-01,2018-12-31
cl143c6ky3wu7wd749t8a,-17.993100013118237,-69.65939997928217,CR2,METEOROLOGICA,nodata,nodata,1971-01-01,2017-12-31
cl143c6ky3x6w9rjtqgpa,-18.00359998131171,-69.6330999978818,CR2,METEOROLOGICA,nodata,nodata,2001-01-01,2018-12-31
cl143c6kyc332fet0w06a,-18.054199980106205,-69.20169999590144,CR2,METEOROLOGICA,nodata,nodata,1970-01-01,2018-12-31
cl143c6ky2sgqh9q6gs6s,-18.17469998029992,-69.74389999872074,CR2,METEOROLOGICA,nodata,nodata,1975-01-01,1981-12-31
cl143c6ky8d6bzyhpzu6o,-18.17690002033487,-69.5092000043951,CR2,METEOROLOGICA,nodata,nodata,1978-01-01,2018-12-31
cl143c6kyb89f0yg68v9i,-18.183600010816008,-69.23279999988154,CR2,METEOROLOGICA,nodata,nodata,1961-01-01,2017-12-31
cl143c6kyb8cru01pv6ba,-18.185800008941442,-69.21420001192018,CR2,METEOROLOGICA,nodata,nodata,1970-01-01,1989-12-31
cl143c6kyb2rbwxgjhtti,-18.193599998485297,-69.24579999642447,CR2,METEOROLOGICA,nodata,nodata,2015-01-01,2017-12-31
cl143c6ky83psy2nhvkb),-18.194999985862523,-69.55889999633655,CR2,METEOROLOGICA,nodata,nodata,2001-01-01,2018-12-31
cl143c6ky83ngtzx0zr4e,-18.19919998990372,-69.56029998371378,CR2,METEOROLOGICA,nodata,nodata,1968-01-01,2018-12-31
cl143c6ky8ry835t5gyma,-18.201399988029152,-69.2683000001125,CR2,METEOROLOGICA,nodata,nodata,1932-01-01,1989-12-31
cl143c6ky8ry02ge5vnma,-18.20420000469312,-69.2683000001125,CR2,METEOROLOGICA,nodata,nodata,1983-01-01,2018-12-31
cl143c6ky86kb5sd5etgf,-18.21060000685975,-69.51030000345781,CR2,METEOROLOGICA,nodata,nodata,1986-01-01,1988-12-31
cl143c6ky8r5u3z2zt7dn,-18.216399990487844,-69.29559998447075,CR2,METEOROLOGICA,nodata,nodata,1960-01-01,2017-12-31
cl143c6ky8qe3xyk18rm),-18.218100008089095,-69.32139998534694,CR2,METEOROLOGICA,nodata,nodata,1984-01-01,2018-12-31
cl143c6kyb38q78m8w3ea,-18.23530000867322,-69.18330000014976,CR2,METEOROLOGICA,nodata,nodata,1983-01-01,2018-12-31
cl143c6kyb54wg85j15ja,-18.266899993177503,-69.11669999593869,CR2,METEOROLOGICA,nodata,nodata,1984-01-01,1987-12-31
cl143c6kyb48p48gfuren,-18.280799996573478,-69.13829999277368,CR2,METEOROLOGICA,nodata,nodata,1962-01-01,2017-12-31
cl143c6kwxer8k6d39dma,-18.32719999132678,-69.46610000682995,CR2,METEOROLOGICA,nodata,nodata,1976-01-01,1979-12-31
cl143c6kwzdgfh26hjv8i,-18.347799985203892,-69.13419998483732,CR2,METEOROLOGICA,nodata,nodata,1967-01-01,1974-12-31
cl143c6kwx971u7mbkq9e,-18.35189999314025,-69.5519000175409,CR2,METEOROLOGICA,nodata,nodata,1970-01-01,2018-12-31
cl143c6kwx3rkw5v9ynha,-18.372199998702854,-69.54809999791905,CR2,METEOROLOGICA,nodata,nodata,1963-01-01,2018-12-31
cl143c6kwp72825pk4z4a,-18.4102999814786,-70.16919998684898,CR2,METEOROLOGICA,nodata,nodata,1966-01-01,2018-12-31
cl143c6kwwfn5qx2r6x4n,-18.46689999802038,-69.51670000562444,CR2,METEOROLOGICA,nodata,nodata,1938-01-01,2018-12-31
cl143c6ktyzu3by8754da,-18.477500004228204,-70.3207999910228,CR2,METEOROLOGICA,nodata,nodata,1974-01-01,2018-12-31
cl143c6kwnb7jybrhugce,-18.4832999878563,-70.29360000276938,CR2,METEOROLOGICA,nodata,nodata,1975-01-01,2018-12-31
